2026-09-17T22:34:24Z INFO Logging to /tmp/logs/update_2026-09-17T22-34-24Z.log.
2026-09-17T22:34:24Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-17T22:34:24Z INFO Processing 500 items (47510 already recorded).
2026-09-17T22:34:25Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-17T22:37:48Z INFO [145/500] 03311cff-d6f1-425b-baa7-f0430beb5d51: 44 internal nodes; 1.3 s; peak memory 210 MiB.
2026-09-17T22:37:49Z INFO [146/500] 03316fb0-7256-4277-963b-a94dbfacfcf7: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:37:50Z INFO [147/500] 033222b9-3dd6-47f5-a7de-594dd246cdfc: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:50Z INFO [148/500] 033235e1-fa7c-4d33-8f15-d4a3e8f5a43d: 27 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:54Z INFO [149/500] 033296a7-f35e-45a0-9a46-3099413de401: 54 internal nodes; 3.6 s; peak memory 210 MiB.
2026-09-17T22:37:54Z INFO [150/500] 0332cbac-390d-42b3-ad6d-ac42d1bf1092: 26 internal nodes; 0.4 s; peak memory 210 MiB.
2026-09-17T22:37:54Z INFO [150/500] 0332cbac-390d-42b3-ad6d-ac42d1bf1092: checkpointed 47659 records.
2026-09-17T22:37:55Z INFO [151/500] 03332538-34cc-44c5-b960-273bdfbdcd73: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:56Z INFO [152/500] 03338fd2-c2b9-45ea-89d0-1854e6729102: 58 internal nodes; 0.8 s; peak memory 210 MiB.
2026-09-17T22:37:56Z INFO [153/500] 0333f1fc-6191-4b7e-9c50-6bffc8e226bf: 29 internal nodes; 0.8 s; peak memory 210 MiB.
2026-09-17T22:37:57Z INFO [154/500] 03343aa5-19af-40a3-908a-199aa7ac621b: 17 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:37:58Z INFO [155/500] 033462b2-6abb-46df-a2fe-85fc771a18f7: 44 internal nodes; 1.4 s; peak memory 210 MiB.
2026-09-17T22:37:59Z INFO [156/500] 03357166-3956-4de7-8501-4d5e8d69c6ce: 27 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:38:01Z INFO [157/500] 0335edb5-00c2-4b57-87a4-9ff9afb2aaec: 46 internal nodes; 1.7 s; peak memory 210 MiB.
2026-09-17T22:38:02Z INFO [158/500] 03376a6e-24e2-4dae-a823-c32b693ad95e: 29 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:38:02Z INFO [159/500] 0337823f-ffab-4e5b-9816-b6efdcceade3: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:38:03Z INFO [160/500] 0338279c-e3fa-4d30-9bec-8342785951fa: 31 internal nodes; 0.6 s; peak memory 210 MiB.
2026-09-17T22:38:03Z INFO [161/500] 03383de2-51cc-467a-9b50-99e5190964c0: 23 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:38:04Z INFO [162/500] 0338f7d1-7504-4746-ae6d-dc45564297b3: 27 internal nodes; 0.7 s; peak memory 210 MiB.
2026-09-17T22:38:05Z INFO [163/500] 033999bf-6d3d-4747-a29b-c298723ab87d: 17 internal nodes; 0.5 s; peak memory 210 MiB.
2026-09-17T22:38:13Z INFO [164/500] 0339f9c8-7306-44a4-8ded-a74556b40692: 301 internal nodes; 8.7 s; peak memory 210 MiB.
