2026-09-21T22:57:22Z INFO Logging to /tmp/logs/update_2026-09-21T22-57-22Z.log.
2026-09-21T22:57:22Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-21T22:57:22Z INFO Processing 500 items (51499 already recorded).
2026-09-21T22:57:24Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:24Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T22:57:25Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T22:57:25Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:01:47Z INFO [101/500] 0b875c0e-f757-4edd-8a73-ee590caae411: 31 internal nodes; 1.8 s; peak memory 213 MiB.
2026-09-21T23:01:48Z INFO [102/500] 0b87d7ea-3784-4bfd-be44-018ed6ae6abf: 17 internal nodes; 1.1 s; peak memory 213 MiB.
2026-09-21T23:01:51Z INFO [103/500] 0b88dc4a-a190-49ec-bdfc-d3db764e091c: 60 internal nodes; 2.7 s; peak memory 213 MiB.
2026-09-21T23:01:56Z INFO [104/500] 0b89257d-d804-4b41-85fd-77eb4efe20bd: 54 internal nodes; 5.3 s; peak memory 213 MiB.
2026-09-21T23:01:58Z INFO [105/500] 0b89ccc5-cff2-4eda-b1dd-7d80d0ec60ec: 27 internal nodes; 1.3 s; peak memory 213 MiB.
2026-09-21T23:01:59Z INFO [106/500] 0b8a47e7-e67c-46d7-b5b5-c3410fa611dd: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:02:00Z INFO [107/500] 0b8bcc97-1661-494f-82d5-e9ef1223ed3b: 30 internal nodes; 1.2 s; peak memory 213 MiB.
2026-09-21T23:02:01Z INFO [108/500] 0b8beb50-3715-46ef-8998-13646ecc0a35: 17 internal nodes; 0.9 s; peak memory 213 MiB.
2026-09-21T23:02:02Z INFO [109/500] 0b8c0c9a-ae38-442e-8142-089459f65222: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:02:03Z INFO [110/500] 0b8c2e90-08bd-4e9e-980c-773f892ff297: 29 internal nodes; 1.5 s; peak memory 213 MiB.
2026-09-21T23:02:04Z INFO [111/500] 0b8cc4d9-5a24-463e-a08b-abbb78e308b7: 17 internal nodes; 1.0 s; peak memory 213 MiB.
2026-09-21T23:02:06Z INFO [112/500] 0b8dece2-3d23-406a-868c-0fb98753f828: 45 internal nodes; 1.3 s; peak memory 213 MiB.
2026-09-21T23:02:07Z INFO [113/500] 0b8ebe40-f21b-4ff7-941e-7b36fef46943: 120 internal nodes; 1.4 s; peak memory 213 MiB.
2026-09-21T23:02:09Z INFO [114/500] 0b8f8155-cb7e-4eba-b8ab-83987dc068c0: 69 internal nodes; 1.7 s; peak memory 213 MiB.
2026-09-21T23:02:10Z INFO [115/500] 0b8fbbe9-76e0-45a6-a47c-375e3c5fb1c8: 31 internal nodes; 1.5 s; peak memory 213 MiB.
2026-09-21T23:02:11Z INFO [116/500] 0b8ffc33-db90-401a-ad8f-e99d68157ffc: 17 internal nodes; 0.7 s; peak memory 213 MiB.
2026-09-21T23:02:13Z INFO [117/500] 0b90a54a-20cf-4413-b1a6-7b262e7af07b: 61 internal nodes; 1.6 s; peak memory 213 MiB.
2026-09-21T23:02:13Z INFO [118/500] 0b911112-0e92-4404-b66c-3137c3637fd8: 19 internal nodes; 0.9 s; peak memory 213 MiB.
2026-09-21T23:02:15Z INFO [119/500] 0b919100-c0a7-453c-a1b9-7517df9e6e6a: 40 internal nodes; 1.6 s; peak memory 213 MiB.
2026-09-21T23:02:16Z INFO [120/500] 0b931f68-643e-4188-9bf9-a448461439ee: 90 internal nodes; 1.3 s; peak memory 213 MiB.
2026-09-21T23:02:22Z INFO [121/500] 0b94130e-234e-45c8-8a22-d3b66d8a94ae: 110 internal nodes; 5.3 s; peak memory 213 MiB.
