2026-09-19T12:11:45Z INFO Logging to /tmp/logs/update_2026-09-19T12-11-45Z.log.
2026-09-19T12:11:45Z INFO Update valid-nwb-file-to-out-degrees (base directory /tmp).
2026-09-19T12:11:45Z INFO Processing 500 items (49007 already recorded).
2026-09-19T12:11:46Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-19T12:13:57Z INFO [120/500] 065a6a76-e45f-48f6-961b-00948e12bf44: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:13:58Z INFO [121/500] 065b371e-770b-4113-b41b-27f8e204cc56: 37 internal nodes; 1.0 s; peak memory 146 MiB.
2026-09-19T12:13:59Z INFO [122/500] 065c0e14-a6a5-4caa-a11c-b1f846f616d7: 25 internal nodes; 1.3 s; peak memory 146 MiB.
2026-09-19T12:14:00Z INFO [123/500] 065c1f7b-13f4-47b7-a2a2-4caa60060261: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:01Z INFO [124/500] 065ca47c-4b02-44ed-ba82-85561df18640: 53 internal nodes; 0.8 s; peak memory 146 MiB.
2026-09-19T12:14:01Z INFO [125/500] 065cb80e-45b9-4bee-a5c8-4621b015ddee: 13 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:02Z INFO [126/500] 065cda57-cb0c-4677-9a45-60f20e9a23f3: 115 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:03Z INFO [127/500] 065d10e1-f3b0-40f5-8f00-99f5477144d6: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:03Z INFO [128/500] 065d4249-52e8-41d2-87ec-80e14b0ade0a: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:14:04Z INFO [129/500] 065dd638-b41b-4bc5-a0d2-c15664653d87: 53 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:04Z INFO [130/500] 065e0c5d-baff-416f-9e97-f7a82f5e9d6c: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:05Z INFO [131/500] 065e4a6e-387e-4183-9724-9885445fa205: 31 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:14:05Z INFO [132/500] 065eb967-79a0-4a95-b089-6f69fcdfb62d: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:06Z INFO [133/500] 065ecdf5-9f65-4033-a914-3c6a23c9ee0d: 17 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:06Z INFO [134/500] 065fb623-256e-4537-bbc2-5956e35e675e: 17 internal nodes; 0.5 s; peak memory 146 MiB.
2026-09-19T12:14:07Z INFO [135/500] 06603511-00ed-450a-aca2-a5f9372f1f05: 17 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:07Z INFO [136/500] 06604994-2a1d-432e-9838-eaee4cf8c95a: 11 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:08Z INFO [137/500] 066081a4-b69c-4808-8a43-f724d8633f14: 60 internal nodes; 0.8 s; peak memory 146 MiB.
2026-09-19T12:14:09Z INFO [138/500] 0660ec7d-23c8-474c-b720-b5c0fc78d01b: 27 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:12Z INFO [139/500] 06619f0a-40a6-401e-853f-7a31f3f096e8: 61 internal nodes; 3.2 s; peak memory 146 MiB.
2026-09-19T12:14:12Z INFO [140/500] 0661b2f2-3fb4-437d-9e9b-66e727a0f45d: 17 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:14Z INFO [141/500] 0661c340-d589-40bb-ab5d-c225a5c504c3: 42 internal nodes; 1.3 s; peak memory 146 MiB.
2026-09-19T12:14:15Z INFO [142/500] 0661f13e-7eff-4247-aa95-2eae7b0c3960: 65 internal nodes; 1.2 s; peak memory 146 MiB.
2026-09-19T12:14:15Z INFO [143/500] 066263e7-9b25-402b-aa7d-f0458407b1f1: 18 internal nodes; 0.4 s; peak memory 146 MiB.
2026-09-19T12:14:16Z INFO [144/500] 0662a888-4665-4c5f-b2d8-838b3566f9ae: 19 internal nodes; 0.6 s; peak memory 146 MiB.
2026-09-19T12:14:16Z INFO [145/500] 066302da-48a8-4bb6-99ef-073175c3fbff: 19 internal nodes; 0.5 s; peak memory 146 MiB.
